date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:31	1299/1299	---M--	200	added ('OK')	image/png	etag:%220f0e9a41ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/img/pricing-star.png	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/img/pricing-star.png	(from https://uuerp.uttaranchaluniversity.ac.in/css/compiled/theme_styles.css)
15:05:32	253487/253487	---M--	200	added ('OK')	image/svg+xml	etag:%220f0e9a41ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/fonts/fontawesome-webfont.svg?v=4.1.0	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/fonts/fontawesome-webfont862f.svg	(from https://uuerp.uttaranchaluniversity.ac.in/css/libs/font-awesome.css)
15:05:32	69628/69628	---M--	200	added ('OK')	image/jpeg	etag:%220f0e9a41ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/img/samples/new-york-sunset.jpg	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/img/samples/new-york-sunset.jpg	(from https://uuerp.uttaranchaluniversity.ac.in/css/compiled/theme_styles.css)
15:05:33	6646/6646	---M--	200	added ('OK')	text/css	etag:%220f0e9a41ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/css/libs/daterangepicker.css	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/css/libs/daterangepicker.css	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:05:34	774/774	---M--	200	added ('OK')	text/css	etag:%220f0e9a41ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/css/libs/jquery-jvectormap-1.2.2.css	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/css/libs/jquery-jvectormap-1.2.2.css	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:05:34	7625/7625	---M--	200	added ('OK')	text/css	etag:%220f0e9a41ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/css/libs/weather-icons.css	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/css/libs/weather-icons.css	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:05:38	35415/35415	---M--	200	added ('OK')	application/javascript	etag:%220d1dfaa1ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/js/moment.min.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/js/moment.min.js	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:05:40	33371/33371	---M--	200	added ('OK')	application/javascript	etag:%220a4aea91ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/js/jquery-jvectormap-1.2.2.min.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/js/jquery-jvectormap-1.2.2.min.js	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:05:43	144839/144839	---M-Z	200	added ('OK')	application/javascript	etag:%220a4aea91ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/js/jquery-jvectormap-world-merc-en.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/js/jquery-jvectormap-world-merc-en.js	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:05:47	2411/2411	---M--	200	added ('OK')	application/javascript	etag:%220a4aea91ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/js/gdp-data.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/js/gdp-data.js	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:05:49	520714/520714	---M--	200	added ('OK')	application/javascript	etag:%220f82a2ae2bad21:0%22	https://uuerp.uttaranchaluniversity.ac.in/Scripts/jquery-ui.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/Scripts/jquery-ui.js	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:05:50	36649/36649	---M-Z	200	added ('OK')	application/javascript	etag:%220a4aea91ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/js/flot/jquery.flot.min.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/js/flot/jquery.flot.min.js	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:05:52	1880/1880	---M--	200	added ('OK')	application/javascript	etag:%220a4aea91ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/js/flot/jquery.flot.resize.min.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/js/flot/jquery.flot.resize.min.js	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:05:53	4889/4889	---M--	200	added ('OK')	application/javascript	etag:%220a4aea91ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/js/flot/jquery.flot.time.min.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/js/flot/jquery.flot.time.min.js	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:05:55	4480/4480	---M-Z	200	added ('OK')	application/javascript	etag:%220a4aea91ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/js/flot/jquery.flot.threshold.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/js/flot/jquery.flot.threshold.js	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:05:57	19454/19454	---M-Z	200	added ('OK')	application/javascript	etag:%220a4aea91ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/js/flot/jquery.flot.axislabels.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/js/flot/jquery.flot.axislabels.js	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:05:59	43247/43247	---M-Z	200	added ('OK')	application/javascript	etag:%220d1dfaa1ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/js/jquery.sparkline.min.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/js/jquery.sparkline.min.js	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:06:01	19024/19024	---M-Z	200	added ('OK')	application/javascript	etag:%220d1dfaa1ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/js/skycons.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/js/skycons.js	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:06:03	12331/12331	---M-Z	200	added ('OK')	application/javascript	etag:%220d1dfaa1ca4d21:0%22	https://uuerp.uttaranchaluniversity.ac.in/js/pace.min.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/js/pace.min.js	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:06:05	9972/9972	---M-Z	200	added ('OK')	application/javascript	etag:%2203bb048b6bed21:0%22	https://uuerp.uttaranchaluniversity.ac.in/js/bootbox.min.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/js/bootbox.min.js	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:06:06	31776/31776	---M-Z	200	added ('OK')	text/css	etag:%2207d33e1fd63d31:0%22	https://uuerp.uttaranchaluniversity.ac.in/Content/themes/base/jquery-ui.css	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/Content/themes/base/jquery-ui.css	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:06:07	3191/3191	---M-Z	200	added ('OK')	text/css	etag:%22079c7c1e497d41:0%22	https://uuerp.uttaranchaluniversity.ac.in/css/libs/jquery.multiselect.css	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/css/libs/jquery.multiselect.css	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:06:09	39098/39098	---M-Z	200	added ('OK')	application/javascript	etag:%220e82cce497d41:0%22	https://uuerp.uttaranchaluniversity.ac.in/Scripts/jquery.multiselect.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/Scripts/jquery.multiselect.js	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:06:10	33789/33789	---M-Z	200	added ('OK')	text/css	etag:%220bd2fba1badd41:0%22	https://uuerp.uttaranchaluniversity.ac.in/jqGrid/css/jquery-ui-custom.css	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/jqGrid/css/jquery-ui-custom.css	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:06:13	16580/16580	---M-Z	200	added ('OK')	text/css	etag:%2280b9cf45f6d61:0%22	https://uuerp.uttaranchaluniversity.ac.in/jqGrid/css/ui.jqgrid.css	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/jqGrid/css/ui.jqgrid.css	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:06:16	361430/361430	---M--	200	added ('OK')	application/javascript	etag:%2207c34cf8fbad41:0%22	https://uuerp.uttaranchaluniversity.ac.in/jqGrid/js/jquery.jqGrid.min.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/jqGrid/js/jquery.jqGrid.min.js	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
15:06:16	7742/7742	---M--	200	added ('OK')	application/javascript	etag:%220ea60bb1badd41:0%22	https://uuerp.uttaranchaluniversity.ac.in/jqGrid/js/i18n/grid.locale-en.js	C:/My%20Web%20Sites/coll/uuerp.uttaranchaluniversity.ac.in/jqGrid/js/i18n/grid.locale-en.js	(from https://uuerp.uttaranchaluniversity.ac.in/Account/ForgotPassword)
